,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度
35,臺北市中正區?門街121~150號,16.16,12.0,4,3,163.98000000000002,3,2,2,1,36250000,221183,RPOOMLPLJIOFFAA47CA,1,1,1,108,680563.0769230769,49.723076923076924,504.55384615384617,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0252555,121.5176249
36,臺北市中正區重慶南路三段121~150號,2.89,12.0,4,13,28.32,1,0,1,1,5600000,197740,RPROMLPLJIOFFAA77CA,2,1,0,108,608430.7692307692,8.892307692307693,87.13846153846154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.024019,121.517056
37,臺北市中正區水源路61~90號,11.86,15.0,4,2,153.04999999999998,3,1,2,1,44550000,308893,RPUQMLTLJIOFFAA68CA,1,1,1,108,950440.0,36.49230769230769,470.92307692307685,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
38,臺北市中正區水源路61~90號,11.57,15.0,4,2,149.5,3,1,2,1,41670000,295604,RPVPMLMJKIOFFAA87CA,1,1,1,108,909550.7692307692,35.6,460.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
39,臺北市中正區水源路61~90號,11.5,15.0,4,2,148.79999999999998,3,1,2,1,41460000,295581,RPWPMLMJKIOFFAA97CA,1,1,1,108,909480.0,35.38461538461539,457.84615384615375,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
40,臺北市中正區水源路61~90號,11.5,15.0,4,2,148.79999999999998,3,1,2,1,41460000,295581,RPXPMLMJKIOFFAA08CA,1,1,1,108,909480.0,35.38461538461539,457.84615384615375,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
41,臺北市中正區水源路61~90號,11.86,15.0,4,2,153.04999999999998,3,1,2,1,45250000,313975,RPUOMLTLJIOFFAA48CA,1,1,1,108,966076.923076923,36.49230769230769,470.92307692307685,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
42,臺北市中正區水源路61~90號,11.57,15.0,4,2,149.5,3,1,2,1,43050000,305887,RPWOMLTLJIOFFAA68CA,1,1,1,108,941190.7692307692,35.6,460.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
43,臺北市中正區水源路61~90號,11.86,15.0,4,2,153.04999999999998,3,1,2,1,45960000,319129,RPOPMLTLJIOFFAA97CA,1,1,1,108,981935.3846153846,36.49230769230769,470.92307692307685,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
44,臺北市中正區水源路61~90號,11.5,15.0,4,2,148.79999999999998,3,1,2,1,39440000,280449,RPWPMLTLJIOFFAA78CA,1,1,1,108,862920.0,35.38461538461539,457.84615384615375,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
