,總樓層數,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝
65,4.0,3,35,3,1,1,0,1,1,0,108,155843.0769230769,65.38461538461539,236.9230769230769,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
66,7.0,4,34,3,2,2,0,1,1,0,108,557000.0,77.84615384615384,405.3846153846154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,5.0,4,44,2,2,1,0,1,1,0,108,95390.76923076923,61.015384615384605,264.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
68,4.0,4,48,2,2,1,0,1,1,0,108,673187.6923076923,113.07692307692308,268.6153846153846,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
69,11.0,4,43,1,2,1,1,2,1,0,108,467381.53846153844,50.338461538461544,328.15384615384613,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
70,9.0,4,25,1,1,1,1,2,1,0,108,820618.4615384616,21.93846153846154,118.83076923076923,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
71,14.0,4,35,3,2,2,1,1,1,0,108,844716.923076923,63.292307692307695,571.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72,5.0,4,36,4,2,2,0,3,1,0,108,329593.84615384607,70.27692307692307,349.32307692307694,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
73,14.0,4,20,1,1,1,1,1,1,1,108,649673.8461538461,19.6,251.81538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,4.0,4,44,1,0,1,0,1,1,0,108,321972.3076923077,80.0,242.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
75,4.0,4,48,3,1,1,0,1,1,0,108,302704.6153846154,66.15384615384615,244.8923076923077,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
76,5.0,4,12,3,2,2,1,1,1,1,108,491350.7692307692,266.2769230769231,726.9538461538461,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
77,11.0,4,24,2,2,1,1,1,1,0,108,465246.1538461538,58.24615384615385,240.1230769230769,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
78,7.0,4,14,2,2,1,1,1,1,1,108,499501.53846153844,63.015384615384605,336.30769230769226,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
79,9.0,4,31,3,2,2,0,1,1,1,108,391098.4615384615,162.30769230769232,550.9846153846154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
80,12.0,4,29,0,1,1,1,1,1,0,108,569230.7692307692,19.569230769230767,98.46153846153842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
