,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
1327,福華路1~30號,53.86,8.0,4,31,197.71,4,2,2,0,36000000,182085,RPPQMLPLRHPFFEA09DA,1,1,1,109,560261.5384615385,165.72307692307692,608.3384615384615,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1023594,121.5222469,0,10,8,1,12,14,1,0,1,0
1328,環河北路三段181~210號,28.94,13.0,4,4,214.51,4,2,2,1,24600000,114680,RPOPMLOLRHPFFEA78DA,2,1,1,109,352861.53846153844,89.04615384615384,660.0307692307691,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.0872445,121.5048146,0,4,8,2,4,9,2,0,0,0
1329,大南路391~420號,21.51,10.0,4,31,116.39,3,2,1,1,17580000,151044,RPPNMLRLRHPFFEA98DA,2,1,0,109,464750.7692307692,66.18461538461538,358.1230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.0897111,121.5156305,0,4,4,4,7,10,0,3,0,0
1330,承德路四段6巷61~90號,40.5,4.0,4,49,121.01,4,2,2,0,16200000,133873,RPPNMLSLRHPFFEA09DA,1,1,0,109,411916.92307692306,124.61538461538461,372.33846153846156,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0800323,121.519524,0,2,9,1,7,10,1,2,0,0
1331,社子街22巷22弄1~30號,24.75,4.0,4,46,67.73,3,1,1,0,7000000,103352,RPRNMLSLRHPFFEA66DA,1,1,0,109,318006.1538461538,76.15384615384615,208.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0869741,121.50535,0,5,11,3,4,9,2,0,0,0
1332,美崙街84巷1~30號,73.0,,3,55,110.22,3,3,2,0,31680000,287425,RPPOMLSLRHPFFEA66EA,1,1,0,109,884384.6153846154,224.6153846153846,339.1384615384615,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25.0970057,121.5215178,0,11,17,20,5,17,1,2,0,1
1333,通河街31~60號,31.1,7.0,4,37,141.72,4,2,2,0,22500000,158764,RPQOMLTLRHPFFEA86EA,1,1,0,109,488504.6153846154,95.6923076923077,436.0615384615384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.0800899,121.5230334,0,4,10,2,10,8,1,0,0,0
1334,忠誠路二段1~30號,20.83,14.0,4,39,200.97,4,2,2,1,28000000,139324,RPWOMLTLRHPFFEA37DA,1,1,0,108,428689.23076923075,64.09230769230768,618.3692307692307,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.1085999,121.5305816,0,7,16,20,6,20,2,1,0,1
1335,天母西路5巷1~30號,34.43,7.0,4,43,157.92,5,2,2,1,28080000,177812,RPSNMLTLRHPFFEA86DA,1,1,0,109,547113.8461538461,105.93846153846154,485.90769230769223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1188155,121.5289906,0,11,11,3,4,14,2,2,0,0
1336,延平北路六段121~150號,24.9,5.0,4,36,73.25999999999999,4,0,4,0,9180000,125307,RPUPMLQLRHPFFEA96DA,2,1,0,109,385560.0,76.61538461538461,225.41538461538457,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0886469,121.5082102,0,8,14,5,5,17,0,0,0,0
1337,士東路266巷12弄1~30號,22.46,5.0,4,40,86.61,2,2,1,0,16000000,184736,RPPPMLTLRHPFFEA76DA,1,1,0,109,568418.4615384615,69.1076923076923,266.4923076923077,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1118096,121.5365502,0,0,5,1,2,3,1,1,0,0
1338,中山北路七段14巷1~30號,19.07,7.0,4,33,146.29,4,2,2,1,26600000,181831,RPQPMLTLRHPFFEA86DA,1,1,0,109,559480.0,58.676923076923075,450.1230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1188748,121.5322845,0,10,11,3,4,12,3,2,0,0
1339,永平街1~30號,27.0,4.0,4,49,67.71,2,2,1,0,8800000,129966,RPUNMLKMRHPFFEA88DA,2,1,0,109,399895.3846153846,83.07692307692308,208.3384615384615,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0903409,121.459313,0,5,15,5,8,5,2,2,0,0
1340,華齡街31~60號,26.81,4.0,4,48,76.71,2,2,1,0,7600000,99074,RPVNMLKMRHPFFEA98DA,1,1,0,109,304843.07692307694,82.49230769230769,236.0307692307692,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0836058,121.5193301,0,7,16,1,8,10,1,0,0,0
1341,忠義街46巷1~30號,37.26,9.0,4,29,126.35000000000001,3,2,2,1,26000000,205778,RPSPMLTLRHPFFEA07DA,3,1,0,109,633163.0769230769,114.64615384615384,388.7692307692308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1056618,121.5305722,0,6,10,20,9,17,1,0,0,1
1342,天母東路8巷19弄1~30號,18.99,5.0,4,36,100.23,3,2,2,1,14350000,143171,RPXPMLQJQHPFFEA07EA,1,1,0,109,440526.1538461538,58.43076923076922,308.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1175375,121.5319041,0,11,12,3,5,13,3,2,0,0
1343,雨聲街31~60號,25.67,7.0,4,35,216.88,3,3,3,0,34200000,157691,RPQOMLKMRHPFFEA68EA,1,1,1,109,485203.0769230769,78.98461538461538,667.3230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1021103,121.5287688,0,7,5,20,13,9,2,0,0,1
1344,福港街211~240號,27.2,5.0,4,43,97.76,3,2,2,0,15000000,153437,RPPNMLPJIIPFFEA87EA,1,1,0,109,472113.8461538461,83.6923076923077,300.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0856173,121.5176816,0,4,15,1,6,8,1,0,0,0
1345,環河北路三段151~180號,26.67,2.0,3,49,74.62,4,2,1,0,7000000,93809,RPRNMLPJIIPFFEA08EA,1,1,0,109,288643.07692307694,82.06153846153846,229.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0864669,121.5053838,0,7,11,3,3,7,1,0,0,0
1346,至善路二段151~180號,33.77,16.0,4,25,247.54,3,2,3,1,43000000,173709,RPROMLPJIIPFFEA18EA,3,1,1,109,534489.2307692308,103.90769230769232,761.6615384615384,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.099053,121.547853,0,0,4,0,3,2,0,0,0,0
1347,中正路661~690號,19.38,9.0,4,23,118.47,3,2,2,1,14450000,134755,RPTOMLPJIIPFFEA38EA,1,1,1,109,414630.7692307692,59.630769230769225,364.5230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.0305489,121.428494,0,9,5,0,3,10,0,0,0,0
1348,中山北路六段172巷16弄1~30號,8.79,5.0,4,27,28.06,1,0,1,0,6040000,215253,RPPQMLPJIIPFFEA18EA,1,1,0,109,662316.923076923,27.046153846153842,86.33846153846153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1073647,121.5262332,0,17,14,2,9,20,2,0,0,0
1349,中山北路六段2巷31~60號,31.4,5.0,4,39,112.99,3,2,2,0,18680000,165324,RPXOMLLMPHPFFEA66EA,1,1,0,109,508689.23076923075,96.61538461538461,347.66153846153844,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.103435,121.5274121,0,15,10,20,12,19,1,0,1,1
1350,重慶北路四段49巷31弄31~60號,50.0,4.0,4,50,147.6,5,2,2,0,8000000,54201,RPUNMLPJIIPFFEA28DA,1,2,0,109,166772.3076923077,153.84615384615384,454.15384615384613,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0820249,121.5112741,0,3,9,1,3,11,1,0,0,0
1351,永平街75巷31~60號,40.66,4.0,4,44,81.38,2,1,1,0,5700000,70042,RPXQMLPJIIPFFEA88DA,1,1,0,109,215513.84615384616,125.10769230769229,250.39999999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0913642,121.5036478,0,3,8,2,6,8,1,0,0,0
1352,中正路601~630號,22.83,5.0,4,38,152.82,0,0,0,0,6300000,41225,RPPRMLPJIIPFFEA18DA,1,1,0,109,126846.15384615384,70.24615384615385,470.21538461538455,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.086467,121.510007,0,6,16,4,3,10,1,0,0,0
1353,東山路121~150號,64.14,10.0,4,19,340.82,5,3,3,1,66000000,193651,RPPNMLNJIIPFFEA57DA,1,1,2,109,595849.2307692308,197.35384615384615,1048.676923076923,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24.169869,120.703067,0,0,6,1,4,3,1,0,0,0
1354,小北街1~30號,21.39,9.0,4,2,86.31,1,1,1,1,23500000,272274,RPPNMLNLRHPFFEA58DA,1,1,0,109,837766.1538461539,65.81538461538462,265.5692307692308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.0902442,121.5266978,0,6,15,1,7,19,1,1,1,0
1355,中山北路六段728巷9弄1~30號,39.1,5.0,4,36,199.18,3,2,2,0,32500000,163177,RPPOMLQJIIPFFEA97DA,1,2,0,109,502083.0769230769,120.3076923076923,612.8615384615384,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1145303,121.5285719,0,13,14,4,7,12,4,0,0,0
1356,德行西路61~90號,15.56,8.0,4,1,80.48,1,1,1,1,17880000,268569,RPPNMLOJIIPFFEA67DA,1,1,1,109,826366.1538461539,47.87692307692308,247.63076923076923,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.105191,121.5224166,0,17,13,2,10,14,1,1,1,0
1357,德行西路61~90號,15.49,8.0,4,1,60.99,0,0,0,1,15680000,257091,RPQNMLOJIIPFFEA77DA,1,1,0,109,791049.2307692308,47.66153846153846,187.66153846153847,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.105191,121.5224166,0,17,13,2,10,14,1,1,1,0
1358,德行西路61~90號,18.09,8.0,4,1,91.03999999999999,2,1,1,1,20850000,270440,RPRNMLOJIIPFFEA87DA,1,1,1,109,832123.0769230769,55.66153846153846,280.1230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.105191,121.5224166,0,17,13,2,10,14,1,1,1,0
1359,德行西路61~90號,13.57,8.0,4,1,50.72,1,1,1,1,13500000,266167,RPSNMLOJIIPFFEA97DA,1,1,0,109,818975.3846153846,41.753846153846155,156.06153846153845,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.105191,121.5224166,0,17,13,2,10,14,1,1,1,0
1360,德行西路61~90號,13.57,8.0,4,1,52.81999999999999,0,0,0,1,13620000,257857,RPTNMLOJIIPFFEA08DA,1,1,0,109,793406.1538461539,41.753846153846155,162.5230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.105191,121.5224166,0,17,13,2,10,14,1,1,1,0
1361,德行西路61~90號,18.09,8.0,4,1,91.03999999999999,0,0,0,1,20050000,259259,RPUNMLOJIIPFFEA18DA,1,1,1,109,797720.0,55.66153846153846,280.1230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.105191,121.5224166,0,17,13,2,10,14,1,1,1,0
1362,福國路91~120號,16.43,14.0,4,42,122.17999999999999,2,2,2,1,21000000,171878,RPQRMLPJIIPFFEA28DA,1,1,0,109,528855.3846153846,50.55384615384615,375.9384615384615,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.101977,121.524891,0,13,10,1,10,13,1,0,1,0
1363,承德路四段3巷1~30號,22.97,4.0,3,52,60.02,0,0,0,0,10458184,174245,RPUQMLPJIIPFFEA68EA,1,1,0,109,536138.4615384615,70.67692307692307,184.6769230769231,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0789932,121.5217787,0,2,9,2,9,9,1,1,0,0
1364,承德路四段3巷1~30號,22.97,4.0,3,52,60.02,3,2,1,0,7275000,121210,SPUQMLPJIIPFFEA78EA,1,1,0,109,372953.8461538461,70.67692307692307,184.6769230769231,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0789932,121.5217787,0,2,9,2,9,9,1,1,0,0
1365,承德路四段3巷1~30號,3.28,4.0,3,52,8.57,0,0,0,0,1475000,172112,RPVQMLPJIIPFFEA78EA,1,1,0,109,529575.3846153846,10.092307692307692,26.369230769230768,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0789932,121.5217787,0,2,9,2,9,9,1,1,0,0
1366,承德路四段3巷1~30號,3.28,4.0,3,52,8.57,3,2,1,0,1025000,119603,SPVQMLPJIIPFFEA88EA,1,1,0,109,368009.23076923075,10.092307692307692,26.369230769230768,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0789932,121.5217787,0,2,9,2,9,9,1,1,0,0
1367,文林路271~300號,16.86,7.0,4,36,102.7,3,2,2,1,5500000,53554,RPQNMLQJIIPFFEA08EA,1,1,0,109,164781.53846153847,51.87692307692307,316.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.0913356,121.5265477,0,11,19,1,8,17,1,1,1,0
1368,文林路271~300號,16.86,7.0,4,36,102.7,3,2,2,1,5500000,53554,RPRNMLQJIIPFFEA18EA,1,1,0,109,164781.53846153847,51.87692307692307,316.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.0913356,121.5265477,0,11,19,1,8,17,1,1,1,0
1369,中山北路七段216巷1~30號,42.96,6.0,4,35,176.16000000000003,4,2,2,1,24800000,140781,RPUOMLQJIIPFFEA58EA,1,1,0,109,433172.3076923077,132.18461538461537,542.0307692307692,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1258639,121.533149,0,2,5,1,6,5,0,0,0,0
1370,承德路四段271~300號,30.64,8.0,4,37,162.7,3,2,2,1,26000000,159803,RPVOMLQJIIPFFEA68EA,1,1,0,109,491701.53846153844,94.27692307692307,500.6153846153846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.0897326,121.520178,0,9,12,5,5,16,1,3,0,1
1371,士商路121~150號,16.67,12.0,4,17,67.73,0,0,0,1,20000000,295290,RPSOMLMKIIPFFEA08EA,1,1,0,109,908584.6153846154,51.292307692307695,208.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.0928088,121.5183464,0,9,10,20,6,20,0,4,0,1
1372,中正路104巷2弄1~30號,54.1,5.0,4,27,244.41,4,1,3,0,45000000,184117,RPTOMLRJIIPFFEA58EA,1,1,1,109,566513.8461538461,166.46153846153845,752.0307692307692,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.0967961,121.5292134,0,5,9,3,7,9,1,1,1,0
1373,中山北路五段850巷1~30號,33.43,5.0,4,41,121.56,3,2,2,0,18950000,155890,RPVPMLQJIIPFFEA68DA,1,1,0,109,479661.53846153844,102.86153846153846,374.03076923076924,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1020674,121.5266925,0,11,11,1,8,6,1,0,1,0
1374,幸福街5巷31~60號,16.49,8.0,4,11,91.89,2,1,1,1,17800000,193710,RPROMLRJIIPFFEA28DA,1,1,1,109,596030.7692307692,50.73846153846153,282.73846153846154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.097448,121.5280071,0,8,13,3,8,7,1,1,1,0
1375,福壽街31~60號,39.85,7.0,4,6,208.5,3,2,2,1,40000000,214786,RPPNMLRJIIPFFEA97DA,2,1,2,109,660880.0,122.61538461538461,641.5384615384615,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.0483634,121.4580257,0,11,20,5,5,9,2,0,1,2
